file_path,emotion,actor_id,transcript
..\data\Actor_01\03-01-01-01-01-01-01.wav,neutral,1,Kids are talking by the door.
..\data\Actor_01\03-01-01-01-01-02-01.wav,neutral,1,Kids are talking by the door.
..\data\Actor_01\03-01-01-01-02-01-01.wav,neutral,1,Dogs are sitting by the door.
..\data\Actor_01\03-01-01-01-02-02-01.wav,neutral,1,Dogs are sitting by the door.
..\data\Actor_01\03-01-02-01-01-01-01.wav,calm,1,Kids are talking by the door.
..\data\Actor_01\03-01-02-01-01-02-01.wav,calm,1,Kids are talking by the door.
..\data\Actor_01\03-01-02-01-02-01-01.wav,calm,1,Dogs are sitting by the door.
..\data\Actor_01\03-01-02-01-02-02-01.wav,calm,1,Dogs are sitting by the door.
..\data\Actor_01\03-01-02-02-01-01-01.wav,calm,1,Kids are talking by the door.
..\data\Actor_01\03-01-02-02-01-02-01.wav,calm,1,Kids are talking by the door.
..\data\Actor_01\03-01-02-02-02-01-01.wav,calm,1,Dogs are sitting by the door.
..\data\Actor_01\03-01-02-02-02-02-01.wav,calm,1,Dogs are sitting by the door.
..\data\Actor_01\03-01-03-01-01-01-01.wav,happy,1,Kids are talking by the door.
..\data\Actor_01\03-01-03-01-01-02-01.wav,happy,1,Kids are talking by the door.
..\data\Actor_01\03-01-03-01-02-01-01.wav,happy,1,Dogs are sitting by the door.
..\data\Actor_01\03-01-03-01-02-02-01.wav,happy,1,Dogs are sitting by the door.
..\data\Actor_01\03-01-03-02-01-01-01.wav,happy,1,Kids are talking by the door.
..\data\Actor_01\03-01-03-02-01-02-01.wav,happy,1,Kids are talking by the door.
..\data\Actor_01\03-01-03-02-02-01-01.wav,happy,1,Dogs are sitting by the door.
..\data\Actor_01\03-01-03-02-02-02-01.wav,happy,1,Dogs are sitting by the door.
..\data\Actor_01\03-01-04-01-01-01-01.wav,sad,1,Kids are talking by the door.
..\data\Actor_01\03-01-04-01-01-02-01.wav,sad,1,Kids are talking by the door.
..\data\Actor_01\03-01-04-01-02-01-01.wav,sad,1,Dogs are sitting by the door.
..\data\Actor_01\03-01-04-01-02-02-01.wav,sad,1,Dogs are sitting by the door.
..\data\Actor_01\03-01-04-02-01-01-01.wav,sad,1,Kids are talking by the door.
..\data\Actor_01\03-01-04-02-01-02-01.wav,sad,1,Kids are talking by the door.
..\data\Actor_01\03-01-04-02-02-01-01.wav,sad,1,Dogs are sitting by the door.
..\data\Actor_01\03-01-04-02-02-02-01.wav,sad,1,Dogs are sitting by the door.
..\data\Actor_01\03-01-05-01-01-01-01.wav,angry,1,Kids are talking by the door.
..\data\Actor_01\03-01-05-01-01-02-01.wav,angry,1,Kids are talking by the door.
..\data\Actor_01\03-01-05-01-02-01-01.wav,angry,1,Dogs are sitting by the door.
..\data\Actor_01\03-01-05-01-02-02-01.wav,angry,1,Dogs are sitting by the door.
..\data\Actor_01\03-01-05-02-01-01-01.wav,angry,1,Kids are talking by the door!
..\data\Actor_01\03-01-05-02-01-02-01.wav,angry,1,Kids are talking by the door.
..\data\Actor_01\03-01-05-02-02-01-01.wav,angry,1,Dogs are sitting by the door.
..\data\Actor_01\03-01-05-02-02-02-01.wav,angry,1,Dogs are sitting by the door!
..\data\Actor_01\03-01-06-01-01-01-01.wav,fearful,1,Kids are talking by the door.
..\data\Actor_01\03-01-06-01-01-02-01.wav,fearful,1,Kids are talking by the door.
..\data\Actor_01\03-01-06-01-02-01-01.wav,fearful,1,Dogs are sitting by the door.
..\data\Actor_01\03-01-06-01-02-02-01.wav,fearful,1,Dogs are sitting by the door.
